County,Area22,Area23,Mean2yrs,SD2yrs,%CV,%distributedarea,ha_2018,ha_2019,ha_2020,ha_2021,ha_2022
Makueni,127716,194977,161346.5,47560.70921,29.47737274,6.853236467,15286531.15,15392835.13,14760826.23,14863309.53,14632948.27
Narok,127460,168860,148160,29274.22074,19.75851832,6.293136293,14037196.06,14134812.05,13554455.87,13648563.43,13437029.1
Machakos,134048,158086,146067,16997.43281,11.63673712,6.204235549,13838897.93,13935134.93,13362977.23,13455755.37,13247209.29
Uasin_Gishu,104396,117923,111159.5,9565.033429,8.604782703,4.721529993,10531639.42,10604877.43,10169455.57,10240061.33,10081354.18
Trans_Nzoia,95140,125065,110102.5,21160.17043,19.21861032,4.676633631,10431495.54,10504037.15,10072755.65,10142690.03,9985492.009
Meru,66338,142379,104358.5,53769.10675,51.52345688,4.432655669,9887288.914,9956046.052,9547264.33,9613550.263,9464553.192
Kakamega,101334,87532,94433,9759.487794,10.33482765,4.011067357,8946912.365,9009130.036,8639227.399,8699208.9,8564382.888
Bungoma,92464,90966,91715,1059.245958,1.154932081,3.895619568,8689399.548,8749826.451,8390570.467,8448825.562,8317880.153
Kilifi,72748,95674,84211,16211.13007,19.25060867,3.576885127,7978444.37,8033927.223,7704065.088,7757553.829,7637322.2
Homa_Bay,86265,78795,82530,5282.087655,6.400203145,3.505484195,7819180.556,7873555.874,7550278.369,7602699.38,7484867.787
Migori,85628,78567,82097.5,4992.880982,6.081648018,3.48711364,7778203.995,7832294.358,7510710.995,7562857.292,7445643.198
Siaya,73521,77550,75535.5,2848.933221,3.771648061,3.208390905,7156497.188,7206264.143,6910384.73,6958363.007,6850517.76
Nakuru,69065,71470,70267.5,1700.591809,2.420168369,2.984631172,6657388.462,6703684.568,6428440.389,6473072.564,6372748.664
Kitui,54067,83618,68842.5,20895.71249,30.35292514,2.92410391,6522378.983,6567736.22,6298073.896,6341800.946,6243511.579
Muranga,67530,68399,67964.5,614.4757929,0.904112872,2.886810621,6439194.195,6483972.958,6217749.839,6260919.205,6163883.396
Kwale,56576,60518,58547,2787.414931,4.760986782,2.486799747,5546947.341,5585521.335,5356187.419,5393375.022,5309784.979
Kisumu,54125,62195,58160,5706.351724,9.811471328,2.470361817,5510281.609,5548600.626,5320782.624,5357724.414,5274686.908
Nandi,45674,67429,56551.5,15383.10802,27.20194517,2.402040342,5357886.698,5395145.947,5173628.586,5209548.697,5128807.714
Kisii,43735,66221,54978,15900.00308,28.92066478,2.335205502,5208807.811,5245030.351,5029676.532,5064597.195,4986102.765
Nyamira,48280,48175,48227.5,74.24621202,0.15394995,2.048476178,4569241.855,4601016.793,4412105.296,4442738.208,4373881.754
Lamu,39503,55800,47651.5,11523.71921,24.18332941,2.024010422,4514669.602,4546065.04,4359409.787,4389676.839,4321642.764
Busia,42476,44097,43286.5,1146.220092,2.647985151,1.83860586,4101114.251,4129633.786,3960076.634,3987571.146,3925769.168
West_Pokot,34780,49097,41938.5,10123.64779,24.13927009,1.781349193,3973400.021,4001031.419,3836754.506,3863392.802,3803515.421
Kericho,40530,40643,40586.5,79.90306627,0.196871044,1.723922625,3845306.817,3872047.443,3713066.437,3738845.976,3680898.903
Baringo,37894,42501,40197.5,3257.640941,8.104088416,1.707399745,3808451.598,3834935.929,3677478.671,3703011.127,3645619.446
Elgeyo_Marakwet,31713,43133,37423,8075.159441,21.57806547,1.589552103,3545585.774,3570242.112,3423652.822,3447422.984,3393992.575
Embu,34506,34500,34503,4.242640687,0.01229644,1.465524308,3268934.772,3291667.252,3156515.868,3178431.318,3129169.917
Kirinyaga,30503,38467,34485,5631.398405,16.32999393,1.464759753,3267229.389,3289950.01,3154869.133,3176773.151,3127537.449
Kajiado,32159,33241,32700,765.0895372,2.339723355,1.388941393,3098112.252,3119656.817,2991567.947,3012338.177,2965650.995
Kiambu,29174,30537,29855.5,963.7865428,3.228170832,1.268120482,2828614.384,2848284.835,2731338.13,2750301.603,2707675.636
Nyeri,26984,31317,29150.5,3063.893683,10.51060422,1.238175415,2761820.221,2781026.179,2666841.023,2685356.698,2643737.288
Bomet,29597,27250,28423.5,1659.579615,5.838758828,1.207295893,2692941.7,2711668.671,2600331.24,2618385.143,2577803.702
Laikipia,26405,29596,28000.5,2256.377739,8.058348025,1.189328852,2652865.203,2671313.477,2561632.976,2579418.199,2539440.694
Vihiga,25758,24921,25339.5,591.8483759,2.335675036,1.076302154,2400752.765,2417447.826,2318190.703,2334285.726,2298107.443
Tharaka_Nithi,23640,26617,25128.5,2105.056888,8.377168902,1.067339871,2380761.888,2397317.93,2298887.314,2314848.314,2278971.285
Nyandarua,20060,20716,20388,463.8620485,2.275171907,0.865985845,1931630.355,1945063.094,1865201.447,1878151.399,1849042.584
Taita_Taveta,11464,13596,12530,1507.551657,12.03153757,0.532215158,1187135.979,1195391.435,1146310.287,1154269.032,1136379.418
Samburu,15870,6448,11159,6662.360092,59.70391695,0.47398156,1057242.649,1064594.814,1020883.998,1027971.918,1012039.739
Tana_River,6673,5734,6203.5,663.9732675,10.70320412,0.26349535,587741.2648,591828.4729,567528.8,571469.1094,562612.1085
Mandera,3209,3208,3208.5,0.707106781,0.022038547,0.13628191,303984.5004,306098.4372,293530.4513,295568.411,290987.499
Turkana,3408,1750,2579,1172.383043,45.45882292,0.109543726,244343.4709,246042.6584,235940.4812,237578.5981,233896.45
Marsabit,591,2184,1387.5,1126.421102,81.18350288,0.05893444,131456.5979,132370.7594,126935.7959,127817.1015,125836.1087
Mombasa,842,1750,1296,642.0529573,49.54112325,0.055047952,122787.5682,123641.4445,118564.8948,119388.0819,117537.7275
Nairobi,661,758,709.5,68.58935778,9.66728087,0.030136205,67220.50896,67687.96671,64908.79078,65359.44759,64346.46425
Wajir,72,1146,609,759.432683,124.70159,0.025867441,57698.78782,58100.03062,55714.52232,56101.34402,55231.84881
Isiolo,129,256,192.5,89.80256121,46.65068115,0.00817649,18238.12259,18364.95221,17610.91223,17733.18346,17458.34301
Garissa,107,142,124.5,24.74873734,19.87850389,0.005288171,11795.565,11877.59247,11389.91466,11468.99398,11291.24003