,lat,lon,Date,search_state,species,geometry
0,0.499269,34.288866,2019-09-26,Busia County,FAW,POINT (34.288866 0.499269)
1,-1.261967,36.801239,2019-03-14,Nairobi County,FAW,POINT (36.801239 -1.261967)
2,0.9187688,34.9299407,2018-07-14,Trans-Nzoia County,FAW,POINT (34.9299407 0.9187688)
3,0.504638,34.138156,2019-09-16,Busia County,FAW,POINT (34.138156 0.504638)
4,-0.0869941,37.6630762,2019-04-09,Meru County,FAW,POINT (37.6630762 -0.0869941)
5,0.4831488,37.6090933,2019-04-24,Meru County,FAW,POINT (37.6090933 0.4831488)
6,0.551105,34.261607,2019-09-02,Busia County,FAW,POINT (34.261607 0.551105)
7,0.460818,34.105675,2021-01-06,Busia County,FAW,POINT (34.105675 0.460818)
8,-1.5683764,37.078103,2019-04-03,Machakos County,FAW,POINT (37.078103 -1.5683764)
9,-0.2845506,36.0704836,2019-02-14,Nakuru,FAW,POINT (36.0704836 -0.2845506)
10,-3.435616,39.896317,2021-07-15,Kilifi County,FAW,POINT (39.896317 -3.435616)
11,0.554142,34.175648,2021-07-06,Busia County,FAW,POINT (34.175648 0.554142)
12,0.697794,34.350563,2019-10-15,Busia County,FAW,POINT (34.350563 0.697794)
13,-3.650488,39.789663,2021-05-17,Kilifi County,FAW,POINT (39.789663 -3.650488)
14,0.407613,34.193631,2021-05-03,Busia County,FAW,POINT (34.193631 0.407613)
15,0.791408,34.718649,2021-05-06,Bungoma County,FAW,POINT (34.718649 0.791408)
16,0.375406,34.353459,2021-06-15,Busia County,FAW,POINT (34.353459 0.375406)
17,0.565253,34.386351,2021-06-08,Bungoma County,FAW,POINT (34.386351 0.565253)
18,1.0968928,34.7866426,2018-06-29,Trans-Nzoia County,FAW,POINT (34.7866426 1.0968928)
19,0.552766,34.335819,2019-05-25,Busia County,FAW,POINT (34.335819 0.552766)
20,0.592516,34.572403,2021-05-27,Bungoma County,FAW,POINT (34.572403 0.592516)
21,-1.210481,36.8510154,2019-03-20,Nairobi County,FAW,POINT (36.8510154 -1.210481)
22,0.275283,34.130802,2021-05-03,Busia County,FAW,POINT (34.130802 0.275283)
23,0.496708,34.204908,2019-10-18,Busia County,FAW,POINT (34.204908 0.496708)
24,-1.5315163,37.2611855,2019-06-11,Machakos County,FAW,POINT (37.2611855 -1.5315163)
25,0.53956,34.619328,2021-05-18,Bungoma County,FAW,POINT (34.619328 0.53956)
26,-0.7756736,35.4640089,2018-11-22,Bomet,FAW,POINT (35.4640089 -0.7756736)
27,0.53375,34.526797,2021-05-24,Bungoma County,FAW,POINT (34.526797 0.53375)
28,-3.276447,40.006094,2021-05-18,Kilifi County,FAW,POINT (40.006094 -3.276447)
29,-3.129576,40.122393,2021-05-20,Kilifi County,FAW,POINT (40.122393 -3.129576)
30,-1.2652821,36.7365136,2019-07-16,Nairobi County,FAW,POINT (36.7365136 -1.2652821)
31,-0.794748,35.4120332,2018-08-10,Bomet,FAW,POINT (35.4120332 -0.794748)
32,0.6014712,34.6187514,2018-09-14,Bungoma County,FAW,POINT (34.6187514 0.6014712)
33,0.412595,34.134939,2021-10-18,Busia County,FAW,POINT (34.134939 0.412595)
34,-3.900834,39.766704,2021-05-13,Kilifi County,FAW,POINT (39.766704 -3.900834)
35,0.645349,34.28713,2019-05-28,Busia County,FAW,POINT (34.28713 0.645349)
36,0.357263,34.172837,2019-12-03,Busia County,FAW,POINT (34.172837 0.357263)
37,0.602632,34.36764,2019-05-25,Busia County,FAW,POINT (34.36764 0.602632)
38,-3.173256,39.978629,2021-03-16,Kilifi County,FAW,POINT (39.978629 -3.173256)
39,0.277717,36.379493,2020-03-03,Laikipia County,FAW,POINT (36.379493 0.277717)
40,0.465357,34.235507,2021-05-03,Busia County,FAW,POINT (34.235507 0.465357)
41,0.539806,34.220922,2019-05-16,Busia County,FAW,POINT (34.220922 0.539806)
42,-3.266117,40.047128,2021-05-26,Kilifi County,FAW,POINT (40.047128 -3.266117)
43,1.563338,35.383911,2019-10-18,West Pokot,FAW,POINT (35.383911 1.563338)
44,-1.14803,36.8007417,2019-11-14,Kiambu,FAW,POINT (36.8007417 -1.14803)
45,0.629064,34.330169,2019-05-28,Busia County,FAW,POINT (34.330169 0.629064)
46,0.9027378,34.9694373,2018-07-07,Trans-Nzoia County,FAW,POINT (34.9694373 0.9027378)
47,0.422932,34.266297,2019-08-15,Busia County,FAW,POINT (34.266297 0.422932)
48,0.8730617,34.8711783,2018-07-08,Trans-Nzoia County,FAW,POINT (34.8711783 0.8730617)
49,-3.225757,40.011545,2021-07-01,Kilifi County,FAW,POINT (40.011545 -3.225757)
50,-3.903322,39.720753,2021-03-03,Kilifi County,FAW,POINT (39.720753 -3.903322)
51,0.2846143,34.7535775,2018-04-05,Kakamega County,FAW,POINT (34.7535775 0.2846143)
52,0.452256,34.352027,2019-05-16,Busia County,FAW,POINT (34.352027 0.452256)
53,0.357372,34.26213,2021-10-19,Busia County,FAW,POINT (34.26213 0.357372)
54,0.1490446,36.272508,2018-08-08,Nakuru,FAW,POINT (36.272508 0.1490446)
55,1.0062866,35.0279743,2018-09-18,Trans-Nzoia County,FAW,POINT (35.0279743 1.0062866)
56,0.075945,35.745971,2021-11-30,Baringo,FAW,POINT (35.745971 0.075945)
57,-0.8499149,35.3971826,2018-07-06,Bomet,FAW,POINT (35.3971826 -0.8499149)
58,1.083059,34.8487923,2018-07-13,Trans-Nzoia County,FAW,POINT (34.8487923 1.083059)
59,0.742881,34.769073,2021-06-28,Bungoma County,FAW,POINT (34.769073 0.742881)
60,-3.332285,40.00566,2021-05-20,Kilifi County,FAW,POINT (40.00566 -3.332285)
61,-2.854301,40.149244,2022-06-27,Kilifi County,FAW,POINT (40.149244 -2.854301)
62,-3.354173,39.922783,2021-05-27,Kilifi County,FAW,POINT (39.922783 -3.354173)
63,0.9658551,35.0565393,2018-07-14,Trans-Nzoia County,FAW,POINT (35.0565393 0.9658551)
64,-0.460745,37.0088383,2018-04-26,Nyeri,FAW,POINT (37.0088383 -0.460745)
65,-1.1768867,36.8757767,2019-08-02,Kiambu,FAW,POINT (36.8757767 -1.1768867)
66,0.4488162,34.8515518,2018-04-17,Kakamega County,FAW,POINT (34.8515518 0.4488162)
67,0.7836838,34.8084243,2018-09-12,Bungoma County,FAW,POINT (34.8084243 0.7836838)
68,-3.201484,39.926188,2021-03-08,Kilifi County,FAW,POINT (39.926188 -3.201484)
69,0.381902,34.228482,2021-12-15,Busia County,FAW,POINT (34.228482 0.381902)
70,0.684313,34.308392,2021-05-14,Busia County,FAW,POINT (34.308392 0.684313)
71,0.4708033,35.9860467,2019-02-15,Baringo,FAW,POINT (35.9860467 0.4708033)
72,-3.214996,40.093899,2020-07-14,Kilifi County,FAW,POINT (40.093899 -3.214996)
73,0.7,35.7,2018-07-03,Baringo,FAW,POINT (35.7 0.7)
74,-0.08750075,34.78389669,2019-02-25,Kisumu County,FAW,POINT (34.78389669 -0.08750075)
75,0.18357708,34.3011872,2019-07-10,Siaya County,FAW,POINT (34.3011872 0.18357708)
76,0.791689,35.470147,2018-11-09,Uasin Gishu County,FAW,POINT (35.470147 0.791689)
77,0.614218,34.712431,2021-05-24,Bungoma County,FAW,POINT (34.712431 0.614218)
78,-3.581976,39.867073,2021-05-24,Kilifi County,FAW,POINT (39.867073 -3.581976)
79,0.582841,34.20655,2020-07-14,Busia County,FAW,POINT (34.20655 0.582841)
80,0.7948652,35.4120133,2018-07-04,Uasin Gishu County,FAW,POINT (35.4120133 0.7948652)
81,0.306227,34.205855,2021-05-11,Busia County,FAW,POINT (34.205855 0.306227)
82,-3.28971,39.785375,2021-05-17,Kilifi County,FAW,POINT (39.785375 -3.28971)
83,-0.8754993,35.2838259,2018-12-14,Bomet,FAW,POINT (35.2838259 -0.8754993)
84,0.376299,35.332891,2022-01-10,Uasin Gishu County,FAW,POINT (35.332891 0.376299)
85,0.510477,34.456389,2021-05-03,Bungoma County,FAW,POINT (34.456389 0.510477)
86,0.213035,34.350195,2019-07-10,Siaya County,FAW,POINT (34.350195 0.213035)
87,0.752063,34.404323,2019-05-31,Busia County,FAW,POINT (34.404323 0.752063)
88,-0.9460694,35.4083459,2018-08-11,Bomet,FAW,POINT (35.4083459 -0.9460694)
89,-1.50781,37.0999733,2019-04-03,Machakos County,FAW,POINT (37.0999733 -1.50781)
90,0.208277,34.122071,2019-09-27,Siaya County,FAW,POINT (34.122071 0.208277)
91,0.450892,34.150935,2021-01-20,Busia County,FAW,POINT (34.150935 0.450892)
92,1.1295951,34.8284382,2018-07-20,Trans-Nzoia County,FAW,POINT (34.8284382 1.1295951)
93,0.602451,34.415491,2019-12-04,Bungoma County,FAW,POINT (34.415491 0.602451)
94,-0.7095333333333333,35.06756,2018-06-10,Bomet,FAW,POINT (35.06756 -0.7095333333333333)
95,-0.384357,38.569486,2019-09-13,Kitui County,FAW,POINT (38.569486 -0.384357)
96,0.8261664,34.9338462,2018-08-24,Bungoma County,FAW,POINT (34.9338462 0.8261664)
97,0.592816,34.530511,2021-10-05,Bungoma County,FAW,POINT (34.530511 0.592816)
98,0.246346,34.23226,2021-10-19,Siaya County,FAW,POINT (34.23226 0.246346)
99,1.942783,35.044426,2020-11-09,West Pokot,FAW,POINT (35.044426 1.942783)
100,0.724692,34.663567,2021-05-04,Bungoma County,FAW,POINT (34.663567 0.724692)
101,-0.248928,37.068166,2023-05-30,Nyeri,FAW,POINT (37.068166 -0.248928)
102,-0.448273,38.569491,2019-09-13,Kitui County,FAW,POINT (38.569491 -0.448273)
103,-1.2927264,36.8890826,2019-07-12,Nairobi County,FAW,POINT (36.8890826 -1.2927264)
104,-0.3609017,37.62923,2019-07-12,Tharaka-Nithi,FAW,POINT (37.62923 -0.3609017)
105,-0.2,36.09,2019-02-14,Nakuru,FAW,POINT (36.09 -0.2)
106,-1.370085,38.00522,2020-05-15,Kitui County,FAW,POINT (38.00522 -1.370085)
107,0.611434,34.758714,2021-05-05,Bungoma County,FAW,POINT (34.758714 0.611434)
108,0.0740275,36.2218897,2018-07-30,Nakuru,FAW,POINT (36.2218897 0.0740275)
109,-0.4105983,35.6917062,2018-07-18,Nakuru,FAW,POINT (35.6917062 -0.4105983)
110,-0.83427,35.3539973,2018-09-07,Bomet,FAW,POINT (35.3539973 -0.83427)
111,0.7908147,34.869219,2018-12-07,Bungoma County,FAW,POINT (34.869219 0.7908147)
112,0.354647,34.120941,2019-03-18,Busia County,FAW,POINT (34.120941 0.354647)
113,0.055943,37.755668,2019-09-13,Meru County,FAW,POINT (37.755668 0.055943)
114,0.71728245,34.71385447,2019-09-16,Bungoma County,FAW,POINT (34.71385447 0.71728245)
115,-1.8444747,37.6343055,2019-07-27,Makueni,FAW,POINT (37.6343055 -1.8444747)
116,0.07726249,34.8147082,2018-12-14,Vihiga County,FAW,POINT (34.8147082 0.07726249)
117,-1.8708834,37.5872072,2019-08-05,Makueni,FAW,POINT (37.5872072 -1.8708834)
118,-0.3880489,34.64395,2020-02-25,Homa Bay County,FAW,POINT (34.64395 -0.3880489)
119,0.1411326,34.36188958,2019-08-16,Siaya County,FAW,POINT (34.36188958 0.1411326)
120,1.176886,36.8757767,2019-10-26,Samburu,FAW,POINT (36.8757767 1.176886)
121,0.1184169,36.2313166,2018-08-23,Nakuru,FAW,POINT (36.2313166 0.1184169)
122,0.8166174,34.9971321,2018-07-03,Bungoma County,FAW,POINT (34.9971321 0.8166174)
123,-1.8041,37.747555,2019-08-23,Makueni,FAW,POINT (37.747555 -1.8041)
124,-0.4155722,37.6656205,2019-10-04,Tharaka-Nithi,FAW,POINT (37.6656205 -0.4155722)
125,-0.0203227,36.198206,2018-10-06,Nakuru,FAW,POINT (36.198206 -0.0203227)
126,-1.58253,37.24501,2017-03-23,Machakos County,FAW,POINT (37.24501 -1.58253)
127,0.81863313,34.75862115,2017-03-30,Bungoma County,FAW,POINT (34.75862115 0.81863313)
128,-1.79007,36.0595,2017-04-04,Kajiado County,FAW,POINT (36.0595 -1.79007)
129,0.08633,34.234243,2017-04-07,Siaya County,FAW,POINT (34.234243 0.08633)
130,0.060405,34.282978,2017-04-11,Siaya County,FAW,POINT (34.282978 0.060405)
131,0.7521147,34.6322457,2017-04-12,Bungoma County,FAW,POINT (34.6322457 0.7521147)
132,0.79611,34.665526,2017-04-12,Bungoma County,FAW,POINT (34.665526 0.79611)
133,0.93371,34.7689,2017-05-04,Trans-Nzoia County,FAW,POINT (34.7689 0.93371)
134,-0.57318,37.32643,2017-05-08,Kirinyaga County,FAW,POINT (37.32643 -0.57318)
135,-1.21822,36.65172,2017-05-09,Kiambu,FAW,POINT (36.65172 -1.21822)
136,-0.5365,37.4541,2017-05-10,Embu,FAW,POINT (37.4541 -0.5365)
137,0.9346573,35.276148,2017-05-11,Trans-Nzoia County,FAW,POINT (35.276148 0.9346573)
138,-0.47389,37.46408,2017-05-12,Embu,FAW,POINT (37.46408 -0.47389)
139,-0.176445,36.1651,2017-05-16,Nakuru,FAW,POINT (36.1651 -0.176445)
140,-0.41337,37.4569,2017-05-16,Embu,FAW,POINT (37.4569 -0.41337)
141,-0.53427365,37.05557279,2017-05-16,Nyeri,FAW,POINT (37.05557279 -0.53427365)
142,1.209044,35.13701,2017-05-16,West Pokot,FAW,POINT (35.13701 1.209044)
143,-0.50537,37.72824,2017-05-17,Embu,FAW,POINT (37.72824 -0.50537)
144,-0.115301,36.2225,2017-05-22,Nyandarua,FAW,POINT (36.2225 -0.115301)
145,-0.15732,36.105,2017-05-23,Nakuru,FAW,POINT (36.105 -0.15732)
146,-1.2202514,36.7136013,2017-05-25,Kiambu,FAW,POINT (36.7136013 -1.2202514)
147,-0.05862,36.2154,2017-05-29,Nakuru,FAW,POINT (36.2154 -0.05862)
148,-1.3917111,36.6828133,2017-06-06,Kajiado County,FAW,POINT (36.6828133 -1.3917111)
149,-0.07661,36.16851,2017-06-07,Nakuru,FAW,POINT (36.16851 -0.07661)
150,-1.3114041,36.8118104,2017-06-08,Nairobi County,FAW,POINT (36.8118104 -1.3114041)
151,-0.25034,36.11021,2017-06-13,Nakuru,FAW,POINT (36.11021 -0.25034)
152,1.2644533,35.130475,2017-06-15,West Pokot,FAW,POINT (35.130475 1.2644533)
153,-0.6789786,37.3548904,2017-06-23,Kirinyaga County,FAW,POINT (37.3548904 -0.6789786)
154,1.1312688,35.1028248,2017-06-27,Trans-Nzoia County,FAW,POINT (35.1028248 1.1312688)
155,1.02563,35.27245,2017-06-29,Trans-Nzoia County,FAW,POINT (35.27245 1.02563)
156,-1.344176,36.64176,2017-07-10,Kajiado County,FAW,POINT (36.64176 -1.344176)
157,1.2786379,35.0912238,2017-07-18,West Pokot,FAW,POINT (35.0912238 1.2786379)
158,-1.408468098,37.48089637,2017-07-18,Machakos County,FAW,POINT (37.48089637 -1.408468098)
159,-2.9300924,37.5034388,2017-07-18,Kajiado County,FAW,POINT (37.5034388 -2.9300924)
160,-0.581825,37.0520633333333,2017-09-07,Nyeri,FAW,POINT (37.0520633333333 -0.581825)
161,-1.28124,36.61225,2017-09-11,Kiambu,FAW,POINT (36.61225 -1.28124)
162,-0.56745,36.997,2017-09-21,Nyeri,FAW,POINT (36.997 -0.56745)
163,-0.63085,37.112393,2017-09-28,Nyeri,FAW,POINT (37.112393 -0.63085)
164,-2.998274871,37.62601476,2017-09-28,Kajiado County,FAW,POINT (37.62601476 -2.998274871)
165,-0.318592,37.65946,2017-10-20,Tharaka-Nithi,FAW,POINT (37.65946 -0.318592)
166,-0.62385,37.298427,2017-10-30,Kirinyaga County,FAW,POINT (37.298427 -0.62385)
167,-1.4706062,37.2979112,2017-11-02,Machakos County,FAW,POINT (37.2979112 -1.4706062)
168,-0.335613,37.82998,2017-11-06,Tharaka-Nithi,FAW,POINT (37.82998 -0.335613)
169,-0.6675702,37.2896832,2017-11-06,Kirinyaga County,FAW,POINT (37.2896832 -0.6675702)
170,-0.51003,37.52088,2017-11-13,Embu,FAW,POINT (37.52088 -0.51003)
171,-1.32801,37.44187,2017-11-14,Machakos County,FAW,POINT (37.44187 -1.32801)
172,-0.5527545,37.405589,2017-11-16,Kirinyaga County,FAW,POINT (37.405589 -0.5527545)
173,-1.4047617,37.3327941,2017-11-17,Machakos County,FAW,POINT (37.3327941 -1.4047617)
174,-1.4391589,37.2440674,2017-11-19,Machakos County,FAW,POINT (37.2440674 -1.4391589)
175,-1.2350989,37.4596359,2017-11-22,Machakos County,FAW,POINT (37.4596359 -1.2350989)
176,-0.3977889,37.5912438,2017-11-23,Embu,FAW,POINT (37.5912438 -0.3977889)
177,-0.381526441,37.83991685,2017-11-23,Tharaka-Nithi,FAW,POINT (37.83991685 -0.381526441)
178,-1.5344537,37.1616338,2017-11-24,Machakos County,FAW,POINT (37.1616338 -1.5344537)
179,-0.6272506,37.0305143,2017-12-07,Murang'a County,FAW,POINT (37.0305143 -0.6272506)
180,-1.3774947,37.2547153,2017-12-08,Machakos County,FAW,POINT (37.2547153 -1.3774947)
181,-0.4487697,37.4149686,2017-12-30,Kirinyaga County,FAW,POINT (37.4149686 -0.4487697)
182,-4.3741836,39.4235019,2018-01-10,Kwale,FAW,POINT (39.4235019 -4.3741836)
183,-0.2658143,36.1867264,2018-01-26,Nakuru,FAW,POINT (36.1867264 -0.2658143)
184,-0.46959,37.5062,2018-02-06,Embu,FAW,POINT (37.5062 -0.46959)
185,-0.2015921,34.8190985,2018-02-15,Kisumu County,FAW,POINT (34.8190985 -0.2015921)
186,0.1359984,34.0804772,2018-03-20,Busia County,FAW,POINT (34.0804772 0.1359984)
187,-0.6879248,37.4914015,2018-03-28,Embu,FAW,POINT (37.4914015 -0.6879248)
188,-0.1547748,34.8391333,2018-03-28,Kisumu County,FAW,POINT (34.8391333 -0.1547748)
189,-0.605488,37.46312,2018-04-19,Kirinyaga County,FAW,POINT (37.46312 -0.605488)
190,-0.418800298,37.50348991,2018-05-01,Embu,FAW,POINT (37.50348991 -0.418800298)
191,-0.25462,36.23458,2018-05-02,Nakuru,FAW,POINT (36.23458 -0.25462)
192,-1.2721495,36.6749358,2018-05-09,Kiambu,FAW,POINT (36.6749358 -1.2721495)
193,-3.039685,37.6842283,2018-06-07,Kajiado County,FAW,POINT (37.6842283 -3.039685)
194,-0.928184,35.86498,2018-06-13,Narok,FAW,POINT (35.86498 -0.928184)
195,0.3690245,34.4907171,2018-10-27,Kakamega County,FAW,POINT (34.4907171 0.3690245)
196,-4.3881297,39.3554756,2018-11-01,Kwale,FAW,POINT (39.3554756 -4.3881297)
197,-0.4680417,37.5542852,2019-01-04,Embu,FAW,POINT (37.5542852 -0.4680417)
198,-0.2704773,34.9723436,2019-03-21,Kisumu County,FAW,POINT (34.9723436 -0.2704773)
199,-0.1123415,34.9498236,2019-04-17,Kisumu County,FAW,POINT (34.9498236 -0.1123415)
200,-1.1125095,34.3280867,2019-05-07,Migori County,FAW,POINT (34.3280867 -1.1125095)
201,-1.4067127,36.7758961,2019-06-04,Kajiado County,FAW,POINT (36.7758961 -1.4067127)
202,-1.0623482,34.4097408,2019-06-04,Migori County,FAW,POINT (34.4097408 -1.0623482)
203,1.02874,35.12113,2019-06-17,Trans-Nzoia County,FAW,POINT (35.12113 1.02874)
204,-1.460546,36.6571219,2019-06-24,Kajiado County,FAW,POINT (36.6571219 -1.460546)
205,2.2449935,35.4396694,2023-05-29,Turkana County,FAW,POINT (35.4396694 2.2449935)
206,1.03927,35.32052,2025-05-14,Elgeyo-Marakwet County,FAW,POINT (35.32052 1.03927)
207,-0.9189462,34.526702,2019-10-24,Migori County,FAW,POINT (34.526702 -0.9189462)
208,-1.0651551,34.4525769,2019-10-01,Migori County,FAW,POINT (34.4525769 -1.0651551)
209,-0.1793386,34.932228,2019-07-11,Kisumu County,FAW,POINT (34.932228 -0.1793386)
210,-1.1260291,34.544012,2019-06-04,Migori County,FAW,POINT (34.544012 -1.1260291)
211,0.1865098,34.1957768,2019-05-27,Siaya County,FAW,POINT (34.1957768 0.1865098)
212,0.6426725,34.9473893,2019-05-22,Kakamega County,FAW,POINT (34.9473893 0.6426725)
213,0.9366649,34.8377534,2019-05-23,Trans-Nzoia County,FAW,POINT (34.8377534 0.9366649)
214,-0.0978012,34.2749779,2019-05-15,Siaya County,FAW,POINT (34.2749779 -0.0978012)
215,-0.96993428,35.89853636,2019-01-29,Narok,FAW,POINT (35.89853636 -0.96993428)
216,-0.6801384,37.6488487,2018-12-31,Embu,FAW,POINT (37.6488487 -0.6801384)
217,0.982222,35.22098,2018-08-15,Trans-Nzoia County,FAW,POINT (35.22098 0.982222)
218,-3.176272,37.733,2018-07-20,Kajiado County,FAW,POINT (37.733 -3.176272)
219,-3.0726432,37.7230122,2018-07-05,Kajiado County,FAW,POINT (37.7230122 -3.0726432)
220,-0.854850796,35.66428712,2018-06-27,Narok,FAW,POINT (35.66428712 -0.854850796)
221,0.0835315,34.0517858,2018-06-19,Busia County,FAW,POINT (34.0517858 0.0835315)
222,1.0551177,35.5881825,2018-06-08,Elgeyo-Marakwet County,FAW,POINT (35.5881825 1.0551177)
223,0.630612,35.0520498,2018-06-05,Uasin Gishu County,FAW,POINT (35.0520498 0.630612)
224,-1.088047,35.8670144,2018-05-29,Narok,FAW,POINT (35.8670144 -1.088047)
225,-2.894053569,37.5884336,2018-05-24,Kajiado County,FAW,POINT (37.5884336 -2.894053569)
226,-0.4674532,37.6911151,2018-05-24,Embu,FAW,POINT (37.6911151 -0.4674532)
227,-2.71889,37.46388,2018-05-23,Kajiado County,FAW,POINT (37.46388 -2.71889)
228,0.9743511,34.9622034,2018-05-20,Trans-Nzoia County,FAW,POINT (34.9622034 0.9743511)
229,0.6314635,35.0087176,2018-05-16,Kakamega County,FAW,POINT (35.0087176 0.6314635)
230,-1.089464671,35.95504539,2018-05-10,Narok,FAW,POINT (35.95504539 -1.089464671)
231,1.0186541,34.9880713,2018-05-07,Trans-Nzoia County,FAW,POINT (34.9880713 1.0186541)
232,-0.2925258,36.1189362,2018-05-03,Nakuru,FAW,POINT (36.1189362 -0.2925258)
233,-1.2380939,36.6000688,2018-04-18,Kiambu,FAW,POINT (36.6000688 -1.2380939)
234,-1.8546139,36.7825261,2018-04-10,Kajiado County,FAW,POINT (36.7825261 -1.8546139)
235,-0.6430817,37.2372161,2018-03-19,Kirinyaga County,FAW,POINT (37.2372161 -0.6430817)
236,-0.5599069,37.235621,2018-03-19,Kirinyaga County,FAW,POINT (37.235621 -0.5599069)
237,1.0580648,35.2106801,2018-02-08,Trans-Nzoia County,FAW,POINT (35.2106801 1.0580648)
238,-2.8119982,37.4958208,2018-01-25,Kajiado County,FAW,POINT (37.4958208 -2.8119982)
239,0.8097101,35.0534424,2017-12-22,Kakamega County,FAW,POINT (35.0534424 0.8097101)
240,-0.9982082,35.6008312,2017-11-29,Narok,FAW,POINT (35.6008312 -0.9982082)
241,-0.6328785,37.3611863,2017-10-17,Kirinyaga County,FAW,POINT (37.3611863 -0.6328785)
242,0.99319,34.87029,2017-05-31,Trans-Nzoia County,FAW,POINT (34.87029 0.99319)
243,0.95475,35.61245,2017-05-18,Elgeyo-Marakwet County,FAW,POINT (35.61245 0.95475)
244,-4.57847,39.15319,2023-05-02,Kwale,FAW,POINT (39.15319 -4.57847)
245,0.13556866,34.02947606,2023-04-21,Busia County,FAW,POINT (34.02947606 0.13556866)
246,-0.931085,34.223145,2023-04-18,Migori County,FAW,POINT (34.223145 -0.931085)
